% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=161168, Wed Nov 26 12:23:00 2025
1 16 0.048556398752884866 1.0000477284116918 1.0 1.0 1.0000022727298554 1.000004545464876 1.000006818205062 1.0000090909504133 1.00001136370093 1.000013636456612 1.0000159092174594 1.0000181819834721 1.0000204547546503 1.0000227275309936 1.0000250003125026 1.0000272730991768 1.0000295458910167 1.000031818688022 1.0000340914901926 1.0000363642975287 1.0000386371100303 1.0000409099276972 1.0000431827505298 1.000045455578528 1.0000477284116918
2 32 0.048688851086433727 1.0742773260973657 0.9538367402627396 0.9538367402627396 0.965794495519649 0.9776183250878555 0.9826715752679318 0.9877623475086083 0.9916154681949084 0.9965070839173511 0.9990262835270124 1.0000129105603477 1.000017973299463 1.000022754640398 1.000025772004169 1.0000311173989926 1.0000341387952185 1.0003258177231824 1.0025249392420554 1.0031811881392683 1.0053072648101906 1.0084796286738533 1.0154422069143434 1.0249068046165388 1.0742773260973657
3 48 0.05043326719678313 1.0962610997774969 0.9427080033642864 0.9427080033642864 0.9577460366254669 0.9608134600555476 0.9673577939386621 0.9772442698475564 0.9833067075532185 0.9860859371286587 0.988893858803155 0.9899495444888896 0.9964244661393362 0.9977273353890113 0.9990026542984642 0.9999483088292472 1.0005386186580647 1.0032237072673558 1.0043804624733588 1.005144187871772 1.0110172872901906 1.0200850702532795 1.0235783569902024 1.0447810613960071 1.0962610997774969
4 64 0.05203850809479686 1.1383124295725386 0.9302261614115351 0.9302261614115351 0.9341376962926068 0.9535436558917184 0.9603464234251654 0.9625244796833256 0.9730769676874638 0.980597254742594 0.9837476953716168 0.99020666345345 0.9945690072107497 0.9955917963725576 0.9984595432722737 1.0001871621536638 1.0018456247991974 1.005855097487474 1.009663541550077 1.017298333941043 1.0233966089609814 1.0242582807065128 1.0306438872111783 1.0627445084483407 1.1383124295725386
5 80 0.0524006738323749 1.1599593794047771 0.9209407495342826 0.9209407495342826 0.931945510756228 0.945872049971951 0.952644987203066 0.9566112684556806 0.964696793709233 0.9726303724772563 0.9799914531432653 0.9818276034996137 0.9901508556167717 0.9921024128455221 0.9966208945188766 0.9987018588250951 1.0049109642803984 1.0075004272137567 1.0149299165107637 1.015939089523233 1.021101853895766 1.0362143419354948 1.0488935657047174 1.0797478388314836 1.1599593794047771
6 96 0.05321187786717866 1.171377280243797 0.911461706536279 0.911461706536279 0.9268759656709308 0.9403920832690374 0.9488105302902348 0.9532973294622152 0.9666043338740518 0.9715648856132365 0.9743241874081803 0.981478834642997 0.9845899518283195 0.9869247683742759 0.9959346881508264 0.9983464433214501 1.0028543622846078 1.005074905061511 1.0133330063439934 1.0160273236695077 1.0246640614062368 1.0370890739007959 1.0623366405184296 1.0829474056299448 1.171377280243797
7 112 0.056531070867780316 1.1971304239923493 0.9077724385362823 0.9077724385362823 0.91590444563729 0.9338544501251927 0.9387788780520502 0.9494611906261624 0.9567349560585562 0.9598648565768901 0.9748277505575313 0.976964075124519 0.9836302141166048 0.9868924184874922 0.9923217583763941 0.9964957788061524 1.003226302054569 1.0078259879828448 1.0094225193590838 1.0229907248799335 1.032676371324859 1.044618238236202 1.0618307374868292 1.0877481926388712 1.1971304239923493
8 128 0.059983867884222906 1.2573617204377237 0.904648279709359 0.904648279709359 0.9062576624103343 0.9241022020773766 0.9378473764065822 0.9404554869957834 0.95084654510676 0.9595446533203258 0.9677884736642178 0.977713545007493 0.9833659142721692 0.9845567259150991 0.9933648120318944 0.9987570780876528 1.003408568011546 1.0070808904360415 1.0131436511998426 1.0242394766822744 1.040225776306508 1.0556932855027612 1.0658930661098487 1.0930443138572399 1.2573617204377237
9 144 0.06279366287598047 1.3191627562359112 0.892652362803028 0.892652362803028 0.896294878877768 0.9184941444088351 0.9372762107728358 0.9407178635786239 0.9524581360487872 0.9533598380063758 0.9623194382815536 0.9699505784324527 0.9802947812927912 0.9826407535454089 0.9922864028387044 0.9975455378763874 1.0084060188982593 1.0109372737408138 1.0194897250051114 1.024928845050607 1.047001168598985 1.056230448371931 1.0722446313293954 1.095865728576407 1.3191627562359112
10 160 0.06398363463769119 1.3735894797682973 0.8662332322243542 0.8662332322243542 0.8954449124931337 0.914541003683991 0.9311065350678531 0.9356576939785659 0.9419787031236058 0.9523630985035247 0.9583475626482945 0.9698077030073203 0.9794624739629223 0.9878469658405495 0.991390833119439 0.9982419303221179 1.0099760172649699 1.015050991821666 1.0171413989201026 1.0364667432852346 1.0484246420423384 1.063336185207276 1.0721116945571785 1.0926060629647705 1.3735894797682973
